MES_ANO,ESTADO,VALOR REVENDA (R$/L)
2006-03,MINAS GERAIS,2.5212
2006-03,PARA,2.7060000000000004
2006-03,PARAIBA,2.5866
2006-03,PARANA,2.5614
2006-03,PERNAMBUCO,2.6515999999999997
2006-03,PIAUI,2.6444
2006-03,RIO DE JANEIRO,2.5982
2006-03,RIO GRANDE DO NORTE,2.6222000000000003
2006-03,RIO GRANDE DO SUL,2.7272
2006-03,RONDONIA,2.7422
2006-03,RORAIMA,2.864
2006-03,SANTA CATARINA,2.6412
2006-03,SAO PAULO,2.4850000000000003
2006-03,SERGIPE,2.564
2006-03,TOCANTINS,2.759
2006-04,ACRE,2.96125
2006-04,ALAGOAS,2.8215
2006-04,AMAPA,2.71075
2006-04,AMAZONAS,2.6045
2006-04,BAHIA,2.67325
2006-04,CEARA,2.748
2006-04,DISTRITO FEDERAL,2.6625
2006-04,ESPIRITO SANTO,2.637
2006-04,GOIAS,2.6425
2006-04,MARANHAO,2.7880000000000003
2006-04,MATO GROSSO,2.983
2006-04,MATO GROSSO DO SUL,2.7735000000000003
2006-04,MINAS GERAIS,2.51975
2006-04,PARA,2.7110000000000003
2006-04,PARAIBA,2.528
2006-04,PARANA,2.5055
2006-04,PERNAMBUCO,2.6795
2006-04,PIAUI,2.642
2006-04,RIO DE JANEIRO,2.6065
2006-04,RIO GRANDE DO NORTE,2.64375
2006-04,RIO GRANDE DO SUL,2.77025
2006-04,RONDONIA,2.73375
2006-04,RORAIMA,2.9275
2006-04,SANTA CATARINA,2.665
2006-04,SAO PAULO,2.49
2006-04,SERGIPE,2.578
2006-04,TOCANTINS,2.78825
2006-05,ACRE,2.9762
2006-05,ALAGOAS,2.822
2006-05,AMAPA,2.7079999999999997
2006-05,AMAZONAS,2.5818
2006-05,BAHIA,2.6710000000000003
2006-05,CEARA,2.6434
2006-05,DISTRITO FEDERAL,2.6168
2006-05,ESPIRITO SANTO,2.6136
2006-05,GOIAS,2.6056
2006-05,MARANHAO,2.8014
2006-05,MATO GROSSO,2.9102
2006-05,MATO GROSSO DO SUL,2.7914000000000003
2006-05,MINAS GERAIS,2.5126
2006-05,PARA,2.701
2006-05,PARAIBA,2.5808
2006-05,PARANA,2.548
2006-05,PERNAMBUCO,2.7282
2006-05,PIAUI,2.5926
2006-05,RIO DE JANEIRO,2.5932000000000004
2006-05,RIO GRANDE DO NORTE,2.6486
2006-05,RIO GRANDE DO SUL,2.7588
2006-05,RONDONIA,2.7228000000000003
2006-05,RORAIMA,2.9732
2006-05,SANTA CATARINA,2.6108000000000002
2006-05,SAO PAULO,2.4661999999999997
2006-05,SERGIPE,2.5806
2006-05,TOCANTINS,2.7852
2006-06,ACRE,2.96775
2006-06,ALAGOAS,2.821
2006-06,AMAPA,2.6485000000000003
2006-06,AMAZONAS,2.5285
2006-06,BAHIA,2.659
2006-06,CEARA,2.71975
2006-06,DISTRITO FEDERAL,2.405
2006-06,ESPIRITO SANTO,2.615
2006-06,GOIAS,2.49525
2006-06,MARANHAO,2.7872500000000002
2006-06,MATO GROSSO,2.96475
2006-06,MATO GROSSO DO SUL,2.7725
2006-06,MINAS GERAIS,2.48225
2006-06,PARA,2.67575
2006-06,PARAIBA,2.53325
2006-06,PARANA,2.47875
2006-06,PERNAMBUCO,2.665
2006-06,PIAUI,2.50725
2006-06,RIO DE JANEIRO,2.573
2006-06,RIO GRANDE DO NORTE,2.613
2006-06,RIO GRANDE DO SUL,2.72925
2006-06,RONDONIA,2.7022500000000003
2006-06,RORAIMA,2.97325
2006-06,SANTA CATARINA,2.5564999999999998
2006-06,SAO PAULO,2.445
2006-06,SERGIPE,2.57325
2006-06,TOCANTINS,2.7737499999999997
2006-07,ACRE,2.9699999999999998
2006-07,ALAGOAS,2.8205
2006-07,AMAPA,2.569
2006-07,AMAZONAS,2.5845000000000002
2006-07,BAHIA,2.6465
2006-07,CEARA,2.7575
2006-07,DISTRITO FEDERAL,2.5452500000000002
2006-07,ESPIRITO SANTO,2.6332500000000003
2006-07,GOIAS,2.57425
2006-07,MARANHAO,2.7485
2006-07,MATO GROSSO,2.9610000000000003
2006-07,MATO GROSSO DO SUL,2.74425
2006-07,MINAS GERAIS,2.4965
2006-07,PARA,2.66125
2006-07,PARAIBA,2.499
2006-07,PARANA,2.52025
2006-07,PERNAMBUCO,2.721
2006-07,PIAUI,2.49725
2006-07,RIO DE JANEIRO,2.56
2006-07,RIO GRANDE DO NORTE,2.607
2006-07,RIO GRANDE DO SUL,2.7325
2006-07,RONDONIA,2.669
